Item_Weight,Item_Visibility,Item_MRP,Item_Outlet_Sales,Outlet_Age,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_Type_Drinks,Item_Type_Food,Item_Type_Non-Consumable,Item_Fat_Content_Low Fat,Item_Fat_Content_Non-Edible,Item_Fat_Content_Regular
9.3,0.016047301,249.8092,3735.138,14,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
5.92,0.019278216,48.2692,443.4228,4,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
17.5,0.016760075,141.618,2097.27,14,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
19.2,0.07048184085069421,182.095,732.38,15,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
8.93,0.07048184085069421,53.8614,994.7052,26,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
10.395,0.07048184085069421,51.4008,556.6088,4,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
13.65,0.012741088999999999,57.6588,343.5528,26,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
19.0,0.127469857,107.7622,4022.7636,28,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
16.2,0.016687114,96.9726,1076.5986,11,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
19.2,0.09444959,187.8214,4710.535,6,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
11.8,0.07048184085069421,45.5402,1516.0266,14,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
18.5,0.045463773,144.1102,2187.153,16,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
15.1,0.1000135,145.4786,1589.2646,14,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
17.6,0.047257328,119.6782,2145.2076,16,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
16.35,0.06802430000000001,196.4426,1977.4260000000002,26,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
9.0,0.06908896099999999,56.3614,1547.3192,16,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
11.8,0.008596051,115.3492,1621.8888,4,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
9.0,0.06919637599999999,54.3614,718.3982,14,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
8.26,0.034237682,113.2834,2303.6679999999997,28,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
13.35,0.10249212,230.5352,2748.4224,9,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
18.85,0.138190277,250.8724,3775.086,26,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
8.315,0.035399923,144.5444,4064.0432,28,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
14.6,0.025698133999999997,196.5084,1587.2672,9,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
15.5,0.057556998,107.6938,214.3876,28,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
13.85,0.025896485,165.021,4078.025,16,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
13.0,0.099887103,45.90600000000001,838.908,6,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
7.645,0.06669343700000001,42.3112,1065.28,9,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
11.65,0.019356131999999998,39.1164,308.9312,26,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
5.925,0.161466534,45.5086,178.4344,15,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
14.5,0.072221801,43.6454,125.8362,28,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
19.25,0.17034855100000001,55.7956,163.7868,15,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
18.6,0.080829372,96.4436,2741.7644,4,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
18.7,0.07048184085069421,256.6672,3068.0064,4,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
17.85,0.07048184085069421,93.1436,2174.5028,11,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
17.5,0.097904029,174.8738,2085.2856,16,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
10.0,0.08929113699999999,146.7102,3791.0652,14,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
20.2,0.059511812000000004,128.0678,2797.6916,28,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
8.85,0.113123893,122.5388,1609.9044,4,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
